,Correlation,Standard deviation
FSU-HYCOM,0.7224338631101469,45.79019263525631
MIROC-COCO4.9,0.808419049970589,35.26604328250229
CAS-LICOM3,0.6953887287324265,29.218785312314907
AWI-FESOM,0.7889174032688332,38.745109284985595
CESM-POP,0.8292739162813119,33.024099928436556
NorESM-BLOM,0.8247704128029213,41.560861372219634
MRI.COM,0.7935027806114109,43.157919159514705
EC-Earth3-NEMO,0.8211901450296206,36.16063356224009
Kiel-NEMO,0.8140293326224346,39.76774881574283
GFDL-MOM,0.8193425583864066,31.60508466653163
CMCC-NEMO,0.8443406755153682,40.74910050896749
Reference,1.0,33.53802664148162
