,RBAR,SITES
FSU-HYCOM,0.6993016686441589,4.737561894975988
MIROC-COCO4.9,0.6197594236583693,7.296477272536874
CAS-LICOM3,0.7311040104561235,5.609110278846318
AWI-FESOM,0.6762503526674086,3.737652342857688
CESM-POP,0.7501841700977664,4.847993225986473
NorESM-BLOM,0.7616738227560405,3.946817322490003
MRI.COM,0.7632644286188129,4.465426733019002
EC-Earth3-NEMO,0.751592038613999,2.4880433406011675
Kiel-NEMO,0.7529238240342242,2.992945602007228
GFDL-MOM,0.622766393387228,1.8621846914991116
CMCC-NEMO,0.7572267440372555,2.6326900555199093
