,Correlation,Standard deviation
FSU-HYCOM,0.6089205882094056,0.04070671505060908
MIROC-COCO4.9,0.5460443998268415,0.04333819882744431
CAS-LICOM3,0.6483021685397893,0.03638457588265228
AWI-FESOM,0.6046315542427004,0.04243537813843776
CESM-POP,0.6704082984086458,0.036334339163932944
NorESM-BLOM,0.6857151873432238,0.03616881794819158
MRI.COM,0.6828638139942168,0.03559411403161463
EC-Earth3-NEMO,0.6834671087398952,0.041857235723727765
Kiel-NEMO,0.6777608159128568,0.04006435005910726
GFDL-MOM,0.5060251805482726,0.050803256474541536
CMCC-NEMO,0.6834467264573499,0.0376188374182974
Reference,1.0,0.03916838151395446
