,Correlation,Standard deviation
FSU-HYCOM,0.8733321209699794,0.03385537332652122
MIROC-COCO4.9,0.7633957003406794,0.04051077504644517
CAS-LICOM3,0.8777709359092718,0.03248316779221799
AWI-FESOM,0.8295659762099454,0.033573467735371613
CESM-POP,0.886912542009208,0.034174569016337975
NorESM-BLOM,0.9050504390865602,0.03290077771769297
MRI.COM,0.9035221285456675,0.03201808913532572
EC-Earth3-NEMO,0.8885051165729135,0.03553100604656481
Kiel-NEMO,0.887102084778494,0.03601531383467376
GFDL-MOM,0.8809308179125741,0.034327919959659094
CMCC-NEMO,0.8998007210428317,0.032496694084717136
Reference,1.0,0.03180483954917351
