,Correlation,Standard deviation
FSU-HYCOM,0.7206302342440525,0.579417879388943
MIROC-COCO4.9,0.7441497423901673,0.5401046542322074
CAS-LICOM3,0.7239949091835182,0.5854436463816033
AWI-FESOM,0.7139396094626544,0.6134832457924477
CESM-POP,0.7559670905924206,0.49588522545691194
NorESM-BLOM,0.7374223566635344,0.5410712058848302
MRI.COM,0.7655623470283257,0.5299741815169459
EC-Earth3-NEMO,0.7338983722108904,0.6087269280501457
Kiel-NEMO,0.7388925921562637,0.5546603363457293
GFDL-MOM,0.712569286681003,0.5800642767743165
CMCC-NEMO,0.7467674861025003,0.5548240434553261
Reference,1.0,0.5760202113810301
