,Correlation,Standard deviation
FSU-HYCOM,0.9758550269637232,1.8355988498062912
MIROC-COCO4.9,0.9772149655156683,1.7171471155341658
CAS-LICOM3,0.9668488441118627,1.9405571379635687
AWI-FESOM,0.979640451030272,1.8436023537936246
CESM-POP,0.9793716673250242,1.6505886155202574
NorESM-BLOM,0.9811699738399781,1.6441088233068795
MRI.COM,0.9809339768046794,1.788876677422432
EC-Earth3-NEMO,0.9821254575538803,1.9198002391434126
Kiel-NEMO,0.9749294899218769,1.6293508410385134
GFDL-MOM,0.9838539685331694,1.7410530718006427
CMCC-NEMO,0.9833506514098479,1.6959005809277656
Reference,1.0,1.7371574272327899
