,RBAR,SITES
FSU-HYCOM,0.7332350178492697,3.3848965370832134
MIROC-COCO4.9,0.8008656158184363,2.4846669807415243
CAS-LICOM3,0.7962523268812912,2.454351187981735
AWI-FESOM,0.7715796554285826,3.1093288425103305
CESM-POP,0.831596820560765,2.7604801411167936
NorESM-BLOM,0.8000371277239141,2.492041681398647
MRI.COM,0.8255647221640969,2.521056388813663
EC-Earth3-NEMO,0.810657530436119,2.265173139115724
Kiel-NEMO,0.8077499783775292,5.4188428281703045
GFDL-MOM,0.7809907770605858,1.5737764189126422
CMCC-NEMO,0.8031572491315624,1.9774400184331913
