,RBAR,SITES
FSU-HYCOM,0.9343826709150106,0.14483894013062873
MIROC-COCO4.9,0.9430342234342818,0.1047886196582954
CAS-LICOM3,0.9313745573627965,0.09395832175873019
AWI-FESOM,0.9380732073317735,0.13399289477351223
CESM-POP,0.9492141603952219,0.10984958808213664
NorESM-BLOM,0.939542510049491,0.10913109344374025
MRI.COM,0.9513568934759175,0.09616294126128672
EC-Earth3-NEMO,0.9488782340132553,0.08916579474400842
Kiel-NEMO,0.9412417254881681,0.24212122687695162
GFDL-MOM,0.9410755087907359,0.06608042488689082
CMCC-NEMO,0.9495774621713777,0.08540639336786611
