,OMIP1_rmse,OMIP1_mean
MMM,10.434231694241639,-2.822072461438957
FSU-HYCOM,12.916065884116016,3.0909842246639183
MIROC-COCO4.9,11.456074442345571,4.635505206449503
CAS-LICOM3,19.27500969269536,-8.083298932930091
AWI-FESOM,13.788659997666278,-5.617463636342326
CESM-POP,11.00558241858306,1.7592931044357316
NorESM-BLOM,14.638869758613572,-0.0714051487671105
MRI.COM,12.063170798772708,-5.680172097939245
EC-Earth3-NEMO,10.942073535213138,-3.3172921158428226
Kiel-NEMO,11.959723575861203,-7.251222125138554
GFDL-MOM,10.458682442859823,-4.072274890721673
CMCC-NEMO,10.991174258724753,-5.038083344403241
