,OMIP1_rmse,OMIP1_mean
MMM,33.08194004136216,8.920533789866377
FSU-HYCOM,67.69178301644436,22.621506365797455
MIROC-COCO4.9,40.72563407493006,12.754656569964194
CAS-LICOM3,55.937612874871334,-10.590884254157043
AWI-FESOM,44.87600937474086,10.33335704838614
CESM-POP,35.12137983975062,11.571527934573137
NorESM-BLOM,45.461798140167836,19.52753392788541
MRI.COM,49.947816885265084,17.859459883557864
EC-Earth3-NEMO,36.70576029528192,4.978775363960592
Kiel-NEMO,39.42770734027325,8.587342930497584
GFDL-MOM,33.622234260204706,-7.696756021894142
CMCC-NEMO,37.015046995858945,12.60125316654245
