,OMIP1_rmse,OMIP1_mean
MMM,8.516874956638642,0.10829229668866472
FSU-HYCOM,11.668773038701424,0.22862126727577267
MIROC-COCO4.9,15.489200389168412,0.2222783816143678
CAS-LICOM3,12.605832037326492,-0.04605430990748534
AWI-FESOM,10.656959849372777,0.31788800176101084
CESM-POP,11.741967342214892,0.06964089166038515
NorESM-BLOM,10.72357473625756,0.37112021357387776
MRI.COM,11.25225073557465,0.03930887908077532
EC-Earth3-NEMO,9.163054986804864,0.37107830305825734
Kiel-NEMO,10.086744773005377,-0.015226682319577538
GFDL-MOM,8.040977271714022,0.0005410526622051543
CMCC-NEMO,9.200174740173193,0.3710783639829247
