,OMIP1_rmse,OMIP1_mean
MMM,0.34810512355466006,0.1057444057499444
FSU-HYCOM,0.5553122416515626,0.3063978702565362
MIROC-COCO4.9,0.5580519972320173,0.1486324338825767
CAS-LICOM3,0.4577658373562764,0.07750295464380569
AWI-FESOM,0.3553746463830957,-0.09136072135818782
CESM-POP,0.49406148286709106,0.05381671035258725
NorESM-BLOM,0.5190565063223095,0.16731047103375518
MRI.COM,0.45681574815564135,0.24128963355809566
EC-Earth3-NEMO,0.5601248562125369,-0.036218575955165276
Kiel-NEMO,1.3331089974962078,0.03256574756112621
GFDL-MOM,0.4812483839427645,0.2153815944966732
CMCC-NEMO,0.5974933882903982,0.10614220937195261
