,OMIP1_rmse,OMIP1_mean
MMM,0.49111285574461494,0.061902928644984166
FSU-HYCOM,0.7165182191198234,0.19163497112008565
MIROC-COCO4.9,0.592910075223618,-0.06493264551381785
CAS-LICOM3,0.5970454550401327,0.04193405883809163
AWI-FESOM,0.6706964522050644,-0.1711707699845499
CESM-POP,0.5770605968161867,0.07263588319077965
NorESM-BLOM,0.5792236636518208,0.08240129232841674
MRI.COM,0.5848456011453461,0.09554656972770853
EC-Earth3-NEMO,0.616778872259649,0.17045110716752104
Kiel-NEMO,0.9552936751843565,0.10521098797815182
GFDL-MOM,0.49276046178807326,0.042413904804501544
CMCC-NEMO,0.5780372815793829,0.052601784272178057
