,OMIP1_rmse_Southern,OMIP1_rmse_Atlantic,OMIP1_rmse_Indian,OMIP1_rmse_Pacific
MMM,0.03576049978291844,0.09049116693924941,0.12306532400778479,0.04721033358266043
FSU-HYCOM,0.08310124170888467,0.15907668445157988,0.24093642496032092,0.07675695152921715
MIROC-COCO4.9,0.057045878618793594,0.08932231404093133,0.1770945676848189,0.07992590225943429
CAS-LICOM3,0.0643180292088854,0.23067713890227987,0.1312668005777886,0.08659326645591883
AWI-FESOM,0.05021570040789985,0.14355877247038065,0.11335481729521742,0.07262151843543065
CESM-POP,0.05336767869937217,0.13268628896938214,0.1603417252053327,0.051392978419392304
NorESM-BLOM,0.09718979937964443,0.1293810877108798,0.11757800386928487,0.07781480841888092
MRI.COM,0.07979189592088275,0.14369043132117795,0.17807501906401124,0.05860145277684535
EC-Earth3-NEMO,0.05738582333972583,0.12996461701966486,0.14956908196594315,0.08694826453951854
Kiel-NEMO,0.036690243208023776,0.12807584531874608,0.16438729843751604,0.07347955891427221
GFDL-MOM,0.04042379422381416,0.08514697688326342,0.11645493695143729,0.05127711791165394
CMCC-NEMO,0.05001267713357963,0.16538711383258242,0.15289943602563183,0.06041108626442414
