,OMIP2_rmse_Southern,OMIP2_rmse_Atlantic,OMIP2_rmse_Indian,OMIP2_rmse_Pacific
MMM,0.20680721929655024,0.597856639145874,0.6557695223639111,0.3396535224076307
FSU-HYCOM,0.40651865749410504,1.1017881440554969,1.2112753057563068,0.4819240680160389
MIROC-COCO4.9,0.8548935202205736,0.9910298033219038,1.0827259559294453,0.5646443671834348
CAS-LICOM3,0.6476708731317785,1.439122670999218,0.7365475554560114,0.5421371128259805
AWI-FESOM,0.5641640561972855,0.735399746824047,0.41448872876318743,0.4544699700921212
CESM-POP,0.9770895729162474,0.6739349790855245,0.9133391317433005,0.807923859545276
NorESM-BLOM,1.0908973177836865,0.8755664352484024,0.8677741396494838,0.9841209326840924
MRI.COM,0.4819429895984695,0.9394576630584718,0.894083213329915,0.5175724219341906
EC-Earth3-NEMO,0.6294778624696685,1.0011941401635642,1.0135278924310223,0.7144671252791452
Kiel-NEMO,0.400064576600131,0.5585299753100027,0.9854656138362586,0.45871695741293156
GFDL-MOM,0.2447204725817237,0.7039612701786166,0.5689480288678966,0.26201742598478905
CMCC-NEMO,0.19816639324829088,0.5984381671485581,0.8172559020619132,0.4044352725823975
