,AMOC-OMIP1,GMOC-OMIP1,ACC-OMIP1,ITF-OMIP1
Z-STD,3.330572764755985,3.7696314504898583,22.92939022928834,2.4284137450357295
Z-MMM,15.097674174071466,-8.830093005944962,152.67947394391442,-12.842117843466433
FSU-HYCOM,10.917977046966552,-8.35234088897705,162.17198400000004,-14.403782166666668
MIROC-COCO4.9,15.982629341866668,-7.9237478656,161.23878733317056,-13.31393715540568
CAS-LICOM3,17.66301746368408,-1.1339753381131839,127.48083216349283,-7.798881991704305
AWI-FESOM,11.998129189289502,-7.474689808660856,139.76507271331852,-11.243299582893561
CESM-POP,19.68355900966427,-5.3999246849325795,134.65068435668945,-11.89860258102417
NorESM-BLOM,20.682372918171282,-12.428284803526038,170.97717108072553,-18.08192159993813
MRI.COM,15.527924326400003,-11.4198824448,171.97677154541014,-11.289214769999186
EC-Earth3-NEMO,15.247066162258324,-14.479666454193948,197.49321659733334,-13.224992051200001
Kiel-NEMO,11.530009110768637,-5.1757896661758425,110.84372567706532,-12.394043693721637
GFDL-MOM,16.3191793958979,-10.84764442228439,154.9301732381185,-14.597703043619791
CMCC-NEMO,10.52255194981893,-12.495076688130696,147.94579467773437,-13.016917641957601
