,v700m-OMIP2,v2000m-OMIP2,v2000m-bot-OMIP2,vtop-bot-OMIP2
Z-STD,0.1839556871865722,0.18854661592906563,0.33951771400998476,0.24336695146312012
Z-MMM,0.28462736815916545,0.08715326082455749,-0.10267226601419989,-0.02000107833960276
FSU-HYCOM,0.28265388443225525,0.05252515592652429,-0.1065827109940709,-0.029612783536947518
MIROC-COCO4.9,0.31677385965983085,0.18141530354817714,0.5632240374883015,0.37271815935770647
CAS-LICOM3,0.3296388943990074,0.3331652800242102,0.28731453816095986,0.30659747918446856
AWI-FESOM,0.2955541688897245,0.27566533233523494,0.11169337071247099,0.19139282973096705
CESM-POP,0.35098005930582765,-0.1439585208892824,-0.6497877339522043,-0.3930524826049804
NorESM-BLOM,0.41307388494652564,0.1560849107830844,-0.4965139412183297,-0.24137998279691342
MRI.COM,0.6797245025634773,0.3460785388946537,-0.13272549708684278,0.09931141535441101
EC-Earth3-NEMO,-0.10597079594930037,-0.25093754132588675,-0.5032020390033722,-0.38332494894663505
Kiel-NEMO,0.28012685775756907,-0.019336700439453125,-0.004707725842793886,-0.012279518445332815
GFDL-MOM,0.14627906428179216,0.12203783958807346,-0.07536384037694188,-0.004908935045862872
CMCC-NEMO,0.14206666946411062,-0.09405372937520351,-0.12274338404337559,-0.1254730939865114
