,Correlation,Standard deviation
FSU-HYCOM,0.6423286074826536,0.19974930794963333
MIROC-COCO4.9,0.96326772311052,0.3257372612227488
CAS-LICOM3,0.8388587483953871,0.35582445394141343
AWI-FESOM,0.9515716820834971,0.3529032986991636
CESM-POP,0.9219300732236524,0.2981795975802614
NorESM-BLOM,0.9213752663565845,0.3030307951114012
MRI.COM,0.8432316919012972,0.34537546035527905
EC-Earth3-NEMO,0.9191925464600993,0.3695668499756873
Kiel-NEMO,0.9513156767106139,0.3141466119842894
GFDL-MOM,0.9147940063176795,0.3048688039385951
CMCC-NEMO,0.9315604825757454,0.3135754454066114
Reference,1.0,0.42760326887847294
