,Correlation,Standard deviation
FSU-HYCOM,0.5800664351835786,0.3923214095444524
MIROC-COCO4.9,0.7120966509028537,0.4194999811038353
CAS-LICOM3,0.7885782939976236,0.496876337141561
AWI-FESOM,0.40110274642980864,0.4858740670730794
CESM-POP,0.6508897233001569,0.43003631305396056
NorESM-BLOM,0.7097216033987493,0.35585145575110505
MRI.COM,0.3736734541220734,0.32764848289082243
EC-Earth3-NEMO,0.7600169872335736,0.4462339449290857
Kiel-NEMO,0.3615246816942188,0.6214433050262089
GFDL-MOM,0.4487133022891754,0.7500880719501984
CMCC-NEMO,0.6020826183118116,0.5112172860744632
Reference,1.0,0.4557538321896544
