,Correlation,Standard deviation
FSU-HYCOM,-0.19075833793883074,0.691896449836056
MIROC-COCO4.9,0.48457122443021045,0.4632131834241475
CAS-LICOM3,-0.022445626607021433,0.6172068661254895
AWI-FESOM,0.21484911262739773,0.43609354016058144
CESM-POP,0.13780952536281665,0.4113190362837283
NorESM-BLOM,0.2219951681852664,0.3629965702451824
MRI.COM,0.35580932889914735,0.3796911964184245
EC-Earth3-NEMO,-0.0901694823177199,0.6006724986316471
Kiel-NEMO,0.2820556023484511,0.49992323921988385
GFDL-MOM,0.377993901523164,0.4603259669015349
CMCC-NEMO,0.26317759007977237,0.492469343596456
Reference,1.0,0.3399012928614554
